url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbu25116,rbu25116,230000.0,Normal,On contract,2.0,65.0,0.0,NaN,0.0,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.0,3.0,1.0,NaN,0.0,NaN,NaN,NaN
https://immovlan.be/en/detail/development-site/for-sale/3201/langdorp/rbu66581,rbu66581,139000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483.0,NaN
https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd47629,vbd47629,155000.0,Normal,On contract,3.0,105.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,Gas,NaN,1.0,2.0,0.0,150.0,0.0,20.0,330.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbd46716,vbd46716,432500.0,New,On contract,3.0,107.0,NaN,NaN,NaN,NaN,Super equipped,NaN,2.0,3.0,2.0,Gas,Double glass,0.0,3.0,1.0,NaN,0.0,14.0,NaN,NaN
https://immovlan.be/en/detail/residence/for-sale/3900/overpelt/rbu65842,rbu65842,329000.0,NaN,NaN,5.0,212.0,NaN,NaN,0.0,NaN,NaN,NaN,1.0,NaN,NaN,Gas,Double glass,NaN,4.0,0.0,NaN,0.0,NaN,567.0,NaN
https://immovlan.be/en/detail/villa/for-sale/1933/sterrebeek/rbu66582,rbu66582,1275000.0,Normal,NaN,4.0,381.0,NaN,1.0,0.0,1.0,NaN,NaN,3.0,NaN,NaN,Gas,Double glass,1.0,NaN,0.0,NaN,0.0,NaN,1725.0,NaN
https://immovlan.be/en/detail/villa/for-sale/1640/sint-genesius-rode/vbd47816,vbd47816,2350000.0,Excellent,On contract,5.0,345.0,NaN,NaN,0.0,NaN,NaN,NaN,3.0,NaN,3.0,Gas,NaN,NaN,4.0,0.0,NaN,0.0,NaN,2500.0,0.0
https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbu38129,rbu38129,344000.0,New,Immediately,2.0,99.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.0,2.0,1.0,NaN,0.0,39.0,NaN,NaN
https://immovlan.be/en/detail/development-site/for-sale/2580/beerzel/rbu61292,rbu61292,212000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1495.0,NaN
https://immovlan.be/en/detail/residence/for-sale/6720/habay-la-neuve/vbd45025,vbd45025,349000.0,New,Immediately,3.0,133.0,1.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,Not specified,NaN,1.0,2.0,1.0,NaN,0.0,NaN,188.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/4260/ciplet/vbd42379,vbd42379,249000.0,Excellent,On contract,2.0,99.0,NaN,NaN,0.0,NaN,Fully equipped,Western kitchen,1.0,1.0,1.0,NaN,Double glass,1.0,3.0,0.0,NaN,0.0,NaN,NaN,1.0
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/vbd44765,vbd44765,1378074.0,New,NaN,4.0,299.0,NaN,NaN,0.0,1.0,NaN,NaN,2.0,NaN,3.0,NaN,NaN,NaN,4.0,NaN,NaN,NaN,NaN,4000.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72595,vbc72595,337000.0,New,NaN,2.0,95.0,1.0,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,Gas,NaN,0.0,2.0,0.0,NaN,0.0,14.0,NaN,NaN
